aug_bets,aug_roi,bets,ev_max,ev_min,family,hit_rate,hits,l1,l2,largest,max_odds,maxdd,min_odds,profit,ranks,roi,selector,sep_bets,sep_l1,sep_roi
1928,94.01970954356847,2508,,,fixed_ranks,4.2663476874003186,107,82.4770642201835,76.28491620111731,16330.0,,41070.0,,-27700.0,"2,3,4,6",88.95534290271132,,580,45.30224525043178,72.12068965517241
2410,88.7551867219917,3135,,,fixed_ranks,4.784688995215311,150,81.61774090619018,76.66453878072136,16330.0,,48860.0,,-41380.0,"1,2,3,4,6",86.80063795853269,,725,58.86740331491713,80.30344827586207
964,121.2240663900415,1254,,,fixed_ranks,5.582137161084529,70,89.42537909018355,83.35463258785943,28600.0,,18480.0,,15250.0,"5,6",112.16108452950559,,290,63.18339100346021,82.03448275862068
1446,103.38174273858921,1881,,,fixed_ranks,6.007442849548113,113,85.67553191489361,81.62852581160192,28600.0,,29730.0,,1570.0,"1,5,6",100.83466241360978,,435,79.83870967741936,92.36781609195403
1446,110.62240663900415,1881,,,fixed_ranks,5.422647527910685,102,84.36170212765957,78.850452368281,28600.0,,29460.0,,-900.0,"2,5,6",99.52153110047847,,435,50.02304147465438,62.62068965517241
1928,99.89107883817428,2508,,,fixed_ranks,5.781499202551834,145,82.81611487834064,78.683160415004,28600.0,,40420.0,,-14580.0,"1,2,5,6",94.1866028708134,,580,65.80310880829016,75.22413793103448
1446,109.18395573997233,1881,,,fixed_ranks,4.891015417331206,92,85.5372340425532,79.97339010111762,28600.0,,24550.0,,1310.0,"3,5,6",100.69643806485912,,435,59.90783410138249,72.48275862068965
1928,98.81224066390041,2508,,,fixed_ranks,5.382775119617225,135,83.69764658954927,79.52513966480447,28600.0,,36690.0,,-12370.0,"1,3,5,6",95.06778309409889,,580,73.21243523316062,82.62068965517241
1928,104.24273858921161,2508,,,fixed_ranks,4.944178628389155,124,82.71240526525727,78.53950518754988,28600.0,,35800.0,,-14840.0,"2,3,5,6",94.0829346092504,,580,50.86355785837651,60.310344827586206
2410,96.93360995850622,3135,,,fixed_ranks,5.32695374800638,167,81.80599872367581,78.4679221193744,28600.0,,47920.0,,-28520.0,"1,2,3,5,6",90.90271132376395,,725,63.31491712707182,70.8551724137931
1446,122.79391424619641,1881,,,fixed_ranks,5.156831472620946,97,101.23404255319149,92.5971261309207,28600.0,,23330.0,,30820.0,"4,5,6",116.38490164805954,,435,59.354838709677416,95.08045977011494
1928,109.01970954356847,2508,,,fixed_ranks,5.582137161084529,140,95.46868767451137,88.9904229848364,28600.0,,36750.0,,17140.0,"1,4,5,6",106.8341307814992,,580,72.79792746113989,99.56896551724138
1928,114.45020746887967,2508,,,fixed_ranks,5.143540669856459,129,94.48344635021938,88.00478850758181,28600.0,,31400.0,,14670.0,"2,4,5,6",105.84928229665071,,580,50.44905008635578,77.25862068965517
2410,105.09958506224066,3135,,,fixed_ranks,5.486443381180223,172,91.22208040842374,86.03894031279924,28600.0,,41320.0,,990.0,"1,2,4,5,6",100.3157894736842,,725,62.98342541436464,84.41379310344827
1928,113.37136929460581,2508,,,fixed_ranks,4.74481658692185,119,95.364978061428,88.88667198723064,28600.0,,31760.0,,16880.0,"3,4,5,6",106.73046251993621,,580,57.858376511226254,84.65517241379311
2410,104.23651452282158,3135,,,fixed_ranks,5.167464114832536,162,91.92724952137843,86.7443345036706,28600.0,,39830.0,,3200.0,"1,3,4,5,6",101.0207336523126,,725,68.90883977900552,90.33103448275862
2410,108.58091286307054,3135,,,fixed_ranks,4.81658692185008,151,91.13911933631142,85.955952760932,28600.0,,38970.0,,730.0,"2,3,4,5,6",100.23285486443382,,725,51.03591160220994,72.48275862068965
2892,101.76694329183955,3762,,,fixed_ranks,5.156831472620946,194,88.97899494815209,84.65957446808511,28600.0,,47600.0,,-12950.0,"1,2,3,4,5,6",96.55768208399788,,870,61.38089758342923,79.24137931034483
482,31.639004149377595,627,,,fixed_ranks,2.3923444976076556,15,27.875399361022364,24.48,3310.0,,41940.0,,-41940.0,7,33.110047846889955,,145,15.277777777777779,38.0
964,49.66804979253112,1254,,,fixed_ranks,4.625199362041467,58,51.62809257781325,49.02555910543131,5090.0,,57140.0,,-55620.0,"1,7",55.645933014354064,,290,58.16608996539792,75.51724137931035
964,60.52904564315353,1254,,,fixed_ranks,3.748006379585327,47,45.38707102952913,42.77955271565495,10440.0,,58090.0,,-58090.0,"2,7",53.676236044657095,,290,19.55017301038062,30.896551724137932
1446,62.91839557399723,1881,,,fixed_ranks,4.784688995215311,90,56.32446808510638,53.64555614688664,10440.0,,72390.0,,-71770.0,"1,2,7",61.844763423710795,,435,46.68202764976959,58.275862068965516
964,58.371369294605806,1254,,,fixed_ranks,2.9505582137161084,37,47.07102952913009,42.260383386581466,10540.0,,55880.0,,-55880.0,"3,7",55.43859649122807,,290,33.0795847750865,45.689655172413794
1446,61.479944674965424,1881,,,fixed_ranks,4.253056884635832,80,57.4468085106383,54.246939861628526,10540.0,,70180.0,,-69560.0,"1,3,7",63.01967038809144,,435,56.566820276497694,68.13793103448276
1446,68.72060857538035,1881,,,fixed_ranks,3.668261562998405,69,56.13297872340426,50.60670569451836,10540.0,,72030.0,,-72030.0,"2,3,7",61.706539074960126,,435,29.976958525345623,38.39080459770115
1928,68.46473029045643,2508,,,fixed_ranks,4.4657097288676235,112,61.64738731551655,57.505985634477256,10540.0,,85710.0,,-85710.0,"1,2,3,7",65.82535885167464,,580,48.35924006908463,57.05172413793103
964,78.78630705394191,1254,,,fixed_ranks,3.349282296650718,42,66.00159616919393,53.594249201277954,16330.0,,41330.0,,-26370.0,"4,7",78.97129186602871,,290,25.88235294117647,79.58620689655173
1446,75.08990318118948,1881,,,fixed_ranks,4.518872939925571,85,70.06382978723404,61.798829164449174,16330.0,,53120.0,,-40050.0,"1,4,7",78.70813397129187,,435,55.0,90.73563218390805
1446,82.33056708160443,1881,,,fixed_ranks,3.9340776182881445,74,68.75,60.48430015965939,16330.0,,46730.0,,-42520.0,"2,4,7",77.39500265816055,,435,25.18433179723502,60.98850574712644
1928,78.67219917012449,2508,,,fixed_ranks,4.6650717703349285,117,71.10889509373753,64.9122106943336,16330.0,,59530.0,,-56200.0,"1,2,4,7",77.59170653907496,,580,47.18480138169257,74.0
1446,80.89211618257261,1881,,,fixed_ranks,3.4024455077086655,64,69.92553191489361,61.66045769026078,16330.0,,46110.0,,-40310.0,"3,4,7",78.5699096225412,,435,35.06912442396313,70.85057471264368
1928,77.59336099585062,2508,,,fixed_ranks,4.2663476874003186,107,71.99042680494615,65.79409417398244,16330.0,,60120.0,,-53990.0,"1,3,4,7",78.47288676236045,,580,54.59412780656304,81.39655172413794
1928,83.02385892116183,2508,,,fixed_ranks,3.827751196172249,96,71.00518548065416,64.80845969672785,16330.0,,56460.0,,-56460.0,"2,3,4,7",77.48803827751196,,580,32.24525043177893,59.08620689655172
2410,79.95850622406638,3135,,,fixed_ranks,4.433811802232855,139,72.44097000638162,67.48483881263964,16330.0,,70140.0,,-70140.0,"1,2,3,4,7",77.62679425837321,,725,48.425414364640886,69.87586206896552
964,99.23236514522821,1254,,,fixed_ranks,4.704944178628389,59,66.47246608140463,60.38338658146965,28600.0,,36150.0,,-13510.0,"5,7",89.22647527910686,,290,44.705882352941174,55.96551724137931
1446,88.72060857538035,1881,,,fixed_ranks,5.422647527910685,102,70.37765957446808,66.3225119744545,28600.0,,48210.0,,-27190.0,"1,5,7",85.54492291334397,,435,63.433179723502306,74.98850574712644
1446,95.9612724757953,1881,,,fixed_ranks,4.837852206273259,91,69.06382978723404,63.54443853113358,28600.0,,48170.0,,-29660.0,"2,5,7",84.23179160021266,,435,37.71889400921659,45.241379310344826
1928,88.89522821576763,2508,,,fixed_ranks,5.342902711323764,134,71.34423613881133,67.20670391061452,28600.0,,59070.0,,-43340.0,"1,2,5,7",82.71929824561404,,580,53.506044905008636,62.189655172413794
1446,94.52282157676349,1881,,,fixed_ranks,4.30622009569378,81,70.23936170212765,64.6673762639702,28600.0,,44650.0,,-27450.0,"3,5,7",85.4066985645933,,435,46.72811059907834,55.10344827586207
1928,87.81639004149378,2508,,,fixed_ranks,4.944178628389155,124,72.22576785001995,68.04868316041501,28600.0,,56050.0,,-41130.0,"1,3,5,7",83.60047846889952,,580,60.9153713298791,69.58620689655173
1928,93.24688796680498,2508,,,fixed_ranks,4.505582137161085,113,71.24052652572796,67.06304868316042,28600.0,,56360.0,,-43600.0,"2,3,5,7",82.61562998405104,,580,40.984455958549226,47.275862068965516
2410,88.13692946058092,3135,,,fixed_ranks,4.976076555023924,156,72.62922782386727,69.28822215129269,28600.0,,67000.0,,-57280.0,"1,2,3,5,7",81.72886762360447,,725,53.48066298342541,60.42758620689655
1446,108.13278008298755,1881,,,fixed_ranks,4.57203615098352,86,85.93617021276596,77.29111229377328,28600.0,,37770.0,,2060.0,"4,5,7",101.09516214779373,,435,41.935483870967744,77.70114942528735
