race_code,date,result,selected,rank,odds,p,ev,hit,payout,lead_min
202608172212,2026-08-17,1-3-4,3-1-6,9,168.7,0.03323384613598436,5.606549843140561,False,0,8.456855783333333
202608172407,2026-08-17,1-2-3,3-1-6,9,143.6,0.03323384961866311,4.772380805240022,False,0,8.347546633333334
202608180503,2026-08-18,2-3-1,3-2-6,10,70.5,0.03374042288532139,2.378699813415158,False,0,8.435642983333333
202608180506,2026-08-18,5-1-6,2-1-3,3,109.5,0.05145301172615802,5.634104784014303,False,0,9.457440483333333
202608180512,2026-08-18,1-4-6,3-1-2,6,190.7,0.04477572876039918,8.538731474608124,False,0,8.417502983333334
202608180903,2026-08-18,2-1-3,3-2-6,10,247.8,0.033740341723267495,8.360856679025686,False,0,9.542498433333332
202608180904,2026-08-18,3-1-4,1-2-6,7,188.5,0.03897762396188842,7.3472821168159665,False,0,8.4143982
202608180906,2026-08-18,1-5-2,1-5-4,3,63.3,0.04944261028480645,3.129717231028248,False,0,9.5215593
202608180907,2026-08-18,3-2-4,2-1-5,4,290.0,0.051720472726304,14.99893709062816,False,0,9.287903533333333
202608180911,2026-08-18,1-5-2,3-1-2,5,134.9,0.0451014836159858,6.084190139796485,False,0,9.409793333333333
202608181010,2026-08-18,1-2-3,3-1-2,6,75.4,0.04477566652288373,3.3760852558254335,False,0,9.53542945
202608181110,2026-08-18,3-1-2,3-1-5,1,120.8,0.05655479487771852,6.831819221228397,False,0,8.3888263
202608181204,2026-08-18,1-4-5,5-6-2,10,451.2,0.015847979704885308,7.150608442844251,False,0,8.508986883333334
202608181301,2026-08-18,2-1-3,1-3-6,8,114.0,0.03576134432605717,4.076793253170517,False,0,8.568170616666666
202608181306,2026-08-18,4-1-6,4-2-6,3,197.4,0.031910607909810054,6.299154001396505,False,0,8.5215593
202608181312,2026-08-18,4-6-1,4-3-5,9,398.4,0.01745267292171033,6.953144892009394,False,0,8.44132335
202608181504,2026-08-18,2-4-3,3-1-5,1,105.1,0.059411202167547444,6.244117347809236,False,0,9.437783983333333
202608181601,2026-08-18,5-4-2,4-6-5,9,884.8,0.016834016699194737,14.894737975447503,False,0,8.577228633333334
202608181605,2026-08-18,4-1-5,4-6-3,7,863.2,0.020258676142200553,17.48728924594752,False,0,8.566144233333334
202608181606,2026-08-18,3-1-6,2-1-3,5,133.6,0.047612289052394535,6.361001817399909,False,0,9.447318216666668
202608181810,2026-08-18,4-5-6,3-1-2,7,130.1,0.038974460942376325,5.07057736860316,False,0,9.564198316666667
202608182005,2026-08-18,1-2-3,2-1-6,10,141.4,0.03341888528294578,4.725430379008533,False,0,8.2385798
202608190908,2026-08-19,5-1-3,6-1-5,9,1279.0,0.02194101985695748,28.062564397048618,False,0,9.5284049
202608191007,2026-08-19,1-2-4,6-4-1,10,710.2,0.01627268358436834,11.556859881618397,False,0,8.5440117
202608191101,2026-08-19,1-3-2,1-3-6,6,201.2,0.04144221197818567,8.338173050010957,False,0,9.6131786
202608191311,2026-08-19,1-3-4,3-1-2,7,44.4,0.03897448171926181,1.7304669883352242,False,0,9.465792633333333
202608191403,2026-08-19,1-4-2,3-1-6,9,129.5,0.03323384876358439,4.303783414884178,False,0,9.602567633333333
202608191406,2026-08-19,1-5-4,3-2-6,9,132.8,0.03353689635853437,4.453699836413365,False,0,9.563423933333333
202608191505,2026-08-19,1-2-4,1-2-6,8,69.1,0.03867434697678459,2.672397376095815,False,0,8.604938516666666
202608191605,2026-08-19,4-5-6,6-4-1,10,1449.0,0.01627268448485251,23.579119818551288,False,0,8.608978683333333
202608191607,2026-08-19,1-2-4,4-6-1,3,621.7,0.02739669195969088,17.032523391339822,False,0,9.57359415
202608191806,2026-08-19,3-1-4,2-3-1,10,88.0,0.030894892414695445,2.7187505324931993,False,0,9.59644255
202608191901,2026-08-19,1-2-6,6-4-1,10,464.4,0.016272697209667182,7.557040584169439,False,0,8.536191516666666
202608191907,2026-08-19,1-4-3,1-3-6,8,142.0,0.035761338546784656,5.078110073643421,False,0,8.5199015
202608192001,2026-08-19,2-4-3,3-1-2,6,72.3,0.0419311040398942,3.0316188220843507,False,0,9.642573633333335
202608192006,2026-08-19,6-1-2,1-3-6,1,108.2,0.05620349948728041,6.08121864452374,False,0,8.615228733333334
202608200209,2026-08-20,2-1-5,4-3-5,3,167.8,0.02738023180112794,4.594402896229268,False,0,9.55736955
202608200402,2026-08-20,2-1-5,5-4-3,7,312.6,0.019815702656589176,6.194388650449777,False,0,9.458383266666667
202608200405,2026-08-20,4-1-6,3-1-4,4,129.6,0.04662904090962009,6.043123701886763,False,0,8.5837108
202608200504,2026-08-20,1-2-3,2-1-5,4,109.0,0.04845702133622148,5.281815325648141,False,0,9.483966299999999
202608201103,2026-08-20,1-3-2,3-1-5,2,111.2,0.05262365750147253,5.851750714163745,False,0,9.46671655
202608201311,2026-08-20,1-2-3,2-1-6,9,102.9,0.03208752104726677,3.3018059157637505,False,0,8.551672483333334
202608201506,2026-08-20,1-3-2,3-1-5,2,62.1,0.055293144174220446,3.43370425321909,False,0,8.6058946
202608201604,2026-08-20,5-1-2,3-1-4,4,347.0,0.04416960231755809,15.326852004192657,False,0,8.893585999999999
202608201605,2026-08-20,1-3-2,4-1-2,10,413.3,0.03343449837789093,13.818478179582321,False,0,8.427146283333334
202608201608,2026-08-20,3-4-2,5-6-3,7,1964.0,0.01992234409358131,39.127483799793694,False,0,9.538441966666666
202608210202,2026-08-21,1-6-3,1-3-2,2,48.8,0.06011913311073832,2.9338136958040297,False,0,9.349148666666668
202608210306,2026-08-21,6-1-2,5-4-1,1,169.7,0.03173590303538044,5.38558274510406,False,0,8.625968199999999
202608210402,2026-08-21,3-1-6,3-1-4,2,115.3,0.059115998062212495,6.816074576573101,False,0,9.393881499999999
202608210410,2026-08-21,1-4-6,3-1-4,4,75.8,0.04972262339692017,3.7689748534865486,False,0,8.61088575
202608210605,2026-08-21,3-4-5,1-2-3,2,85.3,0.05515823925709466,4.704997808630175,False,0,8.592727433333332
202608210608,2026-08-21,5-2-4,4-6-2,3,320.8,0.02631333626073417,8.441318272443523,False,0,9.774507616666666
202608211301,2026-08-21,3-1-2,2-1-3,2,127.6,0.05911843085490779,7.543511777086234,False,0,8.56091275
202608211608,2026-08-21,1-2-3,2-1-3,3,72.9,0.05145302573621583,3.7509255761701343,False,0,8.478163283333334
202608211609,2026-08-21,3-1-4,2-1-5,6,246.7,0.031154842803540285,7.685899719633388,False,0,8.428609233333333
202608211611,2026-08-21,1-2-3,3-1-6,9,139.6,0.03159374120354143,4.410486272014383,False,0,8.589909483333335
202608212302,2026-08-21,2-3-5,2-1-4,3,36.1,0.05209342748083168,1.8805727320580237,False,0,9.02613995
202608212304,2026-08-21,1-3-4,2-1-3,2,51.1,0.05530181136718733,2.8259225608632725,False,0,9.5503844
202608212308,2026-08-21,5-2-4,5-6-1,4,244.3,0.02476907196293496,6.051084280545012,False,0,8.582330616666667
202608212309,2026-08-21,5-1-6,3-1-2,5,154.8,0.045101488038408605,6.981710348345652,False,0,9.5533027
202608212311,2026-08-21,4-1-2,3-1-4,4,86.1,0.046629037105557505,4.014760094788501,False,0,8.481542533333334
202608212405,2026-08-21,1-2-4,4-2-6,10,197.0,0.016273581465513803,3.205895548706219,False,0,9.527008033333335
202608220210,2026-08-22,2-3-4,1-3-6,6,62.5,0.04144210497635564,2.5901315610222277,False,0,8.5978494
202608220410,2026-08-22,5-1-4,3-1-5,5,117.1,0.04275872115933076,5.007046247757632,False,0,8.50516325
202608220412,2026-08-22,1-2-3,2-3-1,10,106.6,0.029366700801242384,3.130490305412438,False,0,9.43205155
202608220705,2026-08-22,2-6-3,1-2-5,7,139.3,0.036387856305800784,5.068828383398049,False,0,8.52991055
202608220803,2026-08-22,4-1-6,4-1-2,10,162.6,0.03342892866389762,5.435543800749753,False,0,8.5570431
202608220804,2026-08-22,6-4-2,5-4-3,6,254.0,0.021351295392695462,5.423229029744648,False,0,9.652215866666667
202608220811,2026-08-22,6-1-2,2-3-1,3,195.0,0.055553302915089434,10.832894068442439,False,0,9.395781733333333
202608221602,2026-08-22,3-5-4,5-4-3,3,77.4,0.02667576445636604,2.0647041689227317,False,0,9.493952049999999
202608221603,2026-08-22,1-2-5,2-1-4,3,159.3,0.052093433158150744,8.298483902093414,False,0,8.491026316666666
202608221606,2026-08-22,1-5-2,5-4-6,8,303.0,0.018400732974785682,5.575422091360061,False,0,9.420223866666667
202608221609,2026-08-22,1-3-5,2-1-3,3,187.9,0.05145302085998362,9.668022619590923,False,0,9.508865616666666
202608221907,2026-08-22,2-3-4,3-1-4,3,50.5,0.05145088585059707,2.598269735455152,False,0,8.502164416666666
202608222006,2026-08-22,3-4-2,1-2-5,4,81.8,0.0484722544684761,3.9650304155213445,False,0,9.417872533333334
202608222007,2026-08-22,1-3-5,2-1-3,5,86.6,0.04450334020606326,3.853989261845078,False,0,9.611010566666666
202608222109,2026-08-22,2-1-5,3-1-2,7,84.0,0.03897446171417959,3.273854783991086,False,0,8.4284055
202608240802,2026-08-24,2-4-1,1-2-6,8,104.2,0.03867420715804809,4.029852385868611,False,0,9.5932822
202608240806,2026-08-24,1-3-4,2-1-3,2,207.3,0.052631923726828005,10.910597788571446,False,0,9.576649816666666
202608240807,2026-08-24,1-3-4,2-1-3,9,145.4,0.03458060688725702,5.02802024140717,False,0,8.591683233333333
202608241003,2026-08-24,1-4-2,1-6-4,7,91.0,0.02958133884296063,2.6919018347094172,False,0,9.529515083333333
202608241010,2026-08-24,1-4-3,2-1-5,9,277.0,0.03594341635055069,9.956326329102541,False,0,8.5532069
202608241301,2026-08-24,1-4-5,4-6-2,2,694.5,0.02833784032920649,19.68063010863391,False,0,9.512901783333332
202608241303,2026-08-24,4-6-3,6-5-4,9,385.5,0.016660092002841978,6.4224654670955825,False,0,9.590791683333332
202608241805,2026-08-24,3-5-6,1-6-4,4,90.1,0.04528059002414101,4.079781161175105,False,0,8.529047183333335
202608241806,2026-08-24,4-1-5,4-3-6,8,216.0,0.01888852807370827,4.0799220639209866,False,0,8.477811216666668
202608241808,2026-08-24,4-6-5,6-4-1,6,446.2,0.021914263084217834,9.778144188177997,False,0,9.586443833333334
202608242003,2026-08-24,3-1-6,1-4-3,10,121.1,0.03089917400625293,3.74188997215723,False,0,8.607600516666668
202608242205,2026-08-24,1-6-5,2-1-3,2,107.2,0.05530180039556158,5.928353002404202,False,0,8.481480549999999
202608250101,2026-08-25,1-2-4,2-1-4,3,66.4,0.05013605668691591,3.3290341640112167,False,0,8.354854983333333
202608250309,2026-08-25,1-2-3,4-3-6,6,533.2,0.021917523345285732,11.686423447706353,False,0,9.176681466666668
202608250310,2026-08-25,1-2-5,6-4-1,10,1056.0,0.016272697707162657,17.183968778763766,False,0,9.36882535
202608250608,2026-08-25,1-4-2,4-6-5,1,318.4,0.029265422769017696,9.318110609655234,False,0,8.398781516666666
202608250903,2026-08-25,3-1-2,1-3-2,2,103.5,0.060118905209261886,6.222306689158605,False,0,9.369091433333333
202608251003,2026-08-25,2-5-3,3-1-2,5,205.1,0.045101503146738414,9.250318295396049,False,0,9.317430983333333
202608251005,2026-08-25,1-4-6,4-3-6,6,675.3,0.021052781580257463,14.216943401147864,False,0,9.413632016666666
202608251007,2026-08-25,2-5-1,1-5-4,3,473.1,0.049442599348713194,23.391293751876212,False,0,8.463182733333333
202608251008,2026-08-25,4-2-3,1-2-6,8,115.6,0.036221371261725366,4.187190517855452,False,0,8.367984816666667
202608251302,2026-08-25,1-3-2,1-4-2,10,201.6,0.031290448882005564,6.308154494612322,False,0,8.50839475
202608251303,2026-08-25,5-6-2,1-5-4,3,220.3,0.0494426368529188,10.892212898698013,False,0,9.385030449999999
202608251309,2026-08-25,3-2-6,3-1-4,3,58.5,0.0550172182121361,3.218507265409962,False,0,9.45581145
